,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Catalonia,2011,Oct,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Nov,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Dec,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2012,Jan,0,0,0,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Feb,0,9,9,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Mar,0,4,4,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Apr,2,36,38,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,May,0,1,1,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Jun,0,1,1,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Jul,0,1,1,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Aug,0,0,0,0,0,1,0,29.72734,2012
,Spain,Catalonia,2012,Sep,0,23,23,0,0,1,1,29.72734,2012
,Spain,Catalonia,2012,Oct,0,0,0,0,0,1,1,29.72734,2012
,Spain,Catalonia,2012,Nov,0,0,0,0,0,1,1,29.72734,2012
,Spain,Catalonia,2012,Dec,0,20,20,0,0,1,1,29.72734,2012
,Spain,Catalonia,2013,Jan,4,7,11,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Feb,1,4,5,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Mar,4,6,10,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Apr,3,2,5,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,May,8,11,19,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Jun,1,1,2,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Jul,4,0,4,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Aug,0,0,0,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Sep,1,11,12,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Oct,10,6,16,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Nov,6,26,32,0,0,1,1,27.127,2013
,Spain,Catalonia,2013,Dec,4,8,12,0,0,1,1,27.127,2013
,Spain,Catalonia,2014,Jan,3,24,27,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Feb,5,3,8,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Mar,2,2,4,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Apr,7,3,10,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,May,4,3,7,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Jun,4,4,8,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Jul,2,4,6,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Aug,4,0,4,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Sep,0,4,4,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Oct,6,5,11,0,0,1,1,31.86207,2014
,Spain,Catalonia,2014,Nov,4,9,13,0,1,1,1,31.86207,2014
,Spain,Catalonia,2014,Dec,0,1,1,0,0,1,1,31.86207,2014
,Spain,Catalonia,2015,Jan,1,1,2,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Feb,6,1,7,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Mar,4,3,7,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Apr,1,0,1,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,May,0,0,0,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Jun,2,1,3,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Jul,2,10,12,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Aug,0,0,0,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Sep,0,0,0,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Oct,0,0,0,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Nov,5,13,18,0,0,1,1,32.48309,2015
,Spain,Catalonia,2015,Dec,0,0,0,0,0,1,1,32.48309,2015
,Spain,Catalonia,2016,Jan,5,0,5,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Feb,1,0,1,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Mar,7,3,10,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Apr,6,1,7,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,May,3,1,4,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Jun,0,2,2,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Jul,1,4,5,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Aug,0,0,0,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Sep,0,9,9,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Oct,2,9,11,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Nov,0,1,1,0,0,1,1,35.73109,2016
,Spain,Catalonia,2016,Dec,17,21,38,0,0,1,1,35.73109,2016
,Spain,Catalonia,2017,Jan,1,5,6,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Feb,28,4,32,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Mar,4,8,12,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Apr,3,17,20,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,May,0,12,12,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Jun,7,20,27,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Jul,6,17,23,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Aug,0,0,0,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Sep,9,64,73,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Oct,2,16,18,0,1,1,1,34.02971,2017
,Spain,Catalonia,2017,Nov,0,0,0,0,0,1,1,34.02971,2017
,Spain,Catalonia,2017,Dec,0,0,0,0,0,1,1,34.02971,2017
,Spain,Basque,1999,Jan,,,,,,,,,1999
,Spain,Basque,1999,Feb,,,,,,,,,1999
,Spain,Basque,1999,Mar,,,,,,,,,1999
,Spain,Basque,1999,Apr,,,,,,,,,1999
,Spain,Basque,1999,May,,,,,,,,,1999
,Spain,Basque,1999,Jun,,,,,,,,,1999
,Spain,Basque,1999,Jul,,,,,,,,,1999
,Spain,Basque,1999,Aug,,,,,,,,,1999
,Spain,Basque,1999,Sep,,,,,,,,,1999
,Spain,Basque,1999,Oct,,,,,,,,,1999
,Spain,Basque,1999,Nov,,,,,,,,,1999
,Spain,Basque,1999,Dec,,,,,,,,,1999
,Spain,Basque,2000,Jan,,,,,,,,,2000
,Spain,Basque,2000,Feb,,,,,,,,,2000
,Spain,Basque,2000,Mar,,,,,,,,,2000
,Spain,Basque,2000,Apr,,,,,,,,,2000
,Spain,Basque,2000,May,,,,,,,,,2000
,Spain,Basque,2000,Jun,,,,,,,,,2000
,Spain,Basque,2000,Jul,,,,,,,,,2000
,Spain,Basque,2000,Aug,,,,,,,,,2000
,Spain,Basque,2000,Sep,,,,,,,,,2000
,Spain,Basque,2000,Oct,,,,,,,,,2000
,Spain,Basque,2000,Nov,,,,,,,,,2000
,Spain,Basque,2000,Dec,,,,,,,,,2000
,Spain,Basque,2001,Jan,,,,,,,,,2001
,Spain,Basque,2001,Feb,,,,,,,,,2001
,Spain,Basque,2001,Mar,,,,,,,,,2001
,Spain,Basque,2001,Apr,,,,,,,,,2001
,Spain,Basque,2001,May,,,,,,,,,2001
,Spain,Basque,2001,Jun,,,,,,,,,2001
,Spain,Basque,2001,Jul,,,,,,,,,2001
,Spain,Basque,2001,Aug,,,,,,,,,2001
,Spain,Basque,2001,Sep,,,,,,,,,2001
,Spain,Basque,2001,Oct,,,,,,,,,2001
,Spain,Basque,2001,Nov,,,,,,,,,2001
,Spain,Basque,2001,Dec,,,,,,,,,2001
,Spain,Basque,2002,Jan,,,,,,,,,2002
,Spain,Basque,2002,Feb,,,,,,,,,2002
,Spain,Basque,2002,Mar,,,,,,,,,2002
,Spain,Basque,2002,Apr,,,,,,,,,2002
,Spain,Basque,2002,May,,,,,,,,,2002
,Spain,Basque,2002,Jun,,,,,,,,,2002
,Spain,Basque,2002,Jul,,,,,,,,,2002
,Spain,Basque,2002,Aug,,,,,,,,,2002
,Spain,Basque,2002,Sep,,,,,,,,,2002
,Spain,Basque,2002,Oct,,,,,,,,,2002
,Spain,Basque,2002,Nov,,,,,,,,,2002
,Spain,Basque,2002,Dec,,,,,,,,,2002
,Spain,Basque,2003,Jan,,,,,,,,,2003
,Spain,Basque,2003,Feb,,,,,,,,,2003
,Spain,Basque,2003,Mar,,,,,,,,,2003
,Spain,Basque,2003,Apr,,,,,,,,,2003
,Spain,Basque,2003,May,,,,,,,,,2003
,Spain,Basque,2003,Jun,,,,,,,,,2003
,Spain,Basque,2003,Jul,,,,,,,,,2003
,Spain,Basque,2003,Aug,,,,,,,,,2003
,Spain,Basque,2003,Sep,,,,,,,,,2003
,Spain,Basque,2003,Oct,,,,,,,,,2003
,Spain,Basque,2003,Nov,,,,,,,,,2003
,Spain,Basque,2003,Dec,,,,,,,,,2003
,Spain,Basque,2004,Jan,,,,,,,,,2004
,Spain,Basque,2004,Feb,,,,,,,,,2004
,Spain,Basque,2004,Mar,,,,,,,,,2004
,Spain,Basque,2004,Apr,,,,,,,,,2004
,Spain,Basque,2004,May,,,,,,,,,2004
,Spain,Basque,2004,Jun,,,,,,,,,2004
,Spain,Basque,2004,Jul,,,,,,,,,2004
,Spain,Basque,2004,Aug,,,,,,,,,2004
,Spain,Basque,2004,Sep,,,,,,,,,2004
,Spain,Basque,2004,Oct,,,,,,,,,2004
,Spain,Basque,2004,Nov,,,,,,,,,2004
,Spain,Basque,2004,Dec,,,,,,,,,2004
,Spain,Basque,2005,Jan,,,,,,,,,2005
,Spain,Basque,2005,Feb,,,,,,,,,2005
,Spain,Basque,2005,Mar,,,,,,,,,2005
,Spain,Basque,2005,Apr,,,,,,,,,2005
,Spain,Basque,2005,May,,,,,,,,,2005
,Spain,Basque,2005,Jun,,,,,,,,,2005
,Spain,Basque,2005,Jul,,,,,,,,,2005
,Spain,Basque,2005,Aug,,,,,,,,,2005
,Spain,Basque,2005,Sep,,,,,,,,,2005
,Spain,Basque,2005,Oct,,,,,,,,,2005
,Spain,Basque,2005,Nov,,,,,,,,,2005
